Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
P15104,Glutamine synthetase OS=Homo sapiens GN=GLUL PE=1 SV=4 - [GLNA_HUMAN],22.79,1,6,6,17,0.504,1;7,18.7,0.549,1;7,26.9,0.529,1;7,25.5,40.34 ,2.14,1,1,6.54 ,2.14,2,2,17.12 ,22.79,6,7,102.62 ,22.79,6,7,373,42.0,6.89
Q96C36,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1 - [P5CR2_HUMAN],45.00,1,9,10,48,0.503,3;16,22.6,0.512,3;16,22.0,0.454,3;16,21.8,120.85 ,12.19,6,6,26.45 ,12.19,6,6,59.90 ,45.00,10,17,388.64 ,45.00,10,19,320,33.6,7.77
Q14195,Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 PE=1 SV=1 - [DPYL3_HUMAN],67.19,1,24,27,239,0.502,19;55,32.3,0.511,18;55,32.2,0.465,19;55,37.6,1089.42 ,37.72,25,37,165.79 ,36.67,27,41,244.82 ,63.33,28,84,1575.10 ,61.40,25,77,570,61.9,6.49
O14791,Apolipoprotein L1 OS=Homo sapiens GN=APOL1 PE=1 SV=5 - [APOL1_HUMAN],39.70,1,11,12,35,0.502,3;11,0.5,0.470,3;11,4.0,0.518,3;11,7.8,34.60 ,6.03,5,5,14.81 ,6.03,5,5,32.82 ,33.92,10,13,195.05 ,23.87,9,12,398,43.9,5.81
Q6PJW8,Consortin OS=Homo sapiens GN=CNST PE=1 SV=3 - [CNST_HUMAN],20.41,1,8,8,27,0.501,1;10,23.7,0.449,1;10,32.0,0.486,1;10,31.0,31.21 ,1.24,1,1,3.26 ,1.24,2,2,18.62 ,20.41,9,12,117.81 ,11.86,5,12,725,79.5,4.53
Q9P0M9,"39S ribosomal protein L27, mitochondrial OS=Homo sapiens GN=MRPL27 PE=1 SV=1 - [RM27_HUMAN]",43.24,1,6,6,29,0.501,2;11,34.6,0.496,2;11,45.3,0.484,2;11,31.8,86.41 ,6.76,2,3,11.62 ,6.76,2,3,35.21 ,43.24,8,15,65.51 ,35.81,5,8,148,16.1,10.42
O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens GN=NDUFB6 PE=1 SV=3 - [NDUB6_HUMAN],36.72,1,4,4,19,0.499,2;9,23.7,0.469,2;9,23.6,0.477,2;9,27.0,85.91 ,20.31,2,2,7.15 ,14.06,2,2,22.39 ,30.47,5,7,107.22 ,26.56,4,8,128,15.5,9.63
Q9NRX2,"39S ribosomal protein L17, mitochondrial OS=Homo sapiens GN=MRPL17 PE=1 SV=1 - [RM17_HUMAN]",26.86,1,5,5,14,0.498,1;5,11.7,0.495,1;5,16.1,0.545,1;5,25.5,49.13 ,5.14,1,1,9.10 ,9.71,3,3,13.31 ,22.29,4,5,105.32 ,22.29,4,5,175,20.0,10.11
P09237,Matrilysin OS=Homo sapiens GN=MMP7 PE=1 SV=1 - [MMP7_HUMAN],13.86,1,1,1,2,0.497,-;1,,0.348,-;1,,0.226,-;1,,,,,,,,,,0.00 ,13.86,1,1,27.49 ,13.86,1,1,267,29.7,7.91
O43805,Sjoegren syndrome nuclear autoantigen 1 OS=Homo sapiens GN=SSNA1 PE=1 SV=2 - [SSNA1_HUMAN],9.24,1,1,1,2,0.496,-;1,,0.642,-;1,,0.495,-;1,,,,,,,,,,4.58 ,9.24,1,1,49.70 ,9.24,1,1,119,13.6,5.38
O43272,"Proline dehydrogenase 1, mitochondrial OS=Homo sapiens GN=PRODH PE=1 SV=3 - [PROD_HUMAN]",7.33,1,3,3,8,0.495,-;4,,0.350,-;4,,0.445,-;4,,,,,,,,,,12.36 ,7.33,3,4,44.70 ,7.33,3,4,600,68.0,7.87
O95568,Histidine protein methyltransferase 1 homolog OS=Homo sapiens GN=METTL18 PE=1 SV=1 - [MET18_HUMAN],6.45,1,1,2,4,0.494,-;1,,0.609,-;1,,0.575,-;1,,,,,,,,,,6.44 ,6.45,2,2,40.87 ,6.45,2,2,372,42.1,6.76
Q9BU19,Zinc finger protein 692 OS=Homo sapiens GN=ZNF692 PE=1 SV=1 - [ZN692_HUMAN],6.94,1,1,1,8,0.494,-;2,,0.958,-;2,,0.536,-;2,,,,,,,,,,5.58 ,6.94,1,4,64.35 ,6.94,1,4,519,56.9,7.58
Q9NW97,Transmembrane protein 51 OS=Homo sapiens GN=TMEM51 PE=1 SV=1 - [TMM51_HUMAN],2.37,1,1,1,1,0.493,-;1,,0.602,-;1,,0.716,-;1,,,,,,,,,,2.10 ,2.37,1,1,,,,,253,27.7,5.53
Q14197,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Homo sapiens GN=ICT1 PE=1 SV=1 - [ICT1_HUMAN]",41.75,1,10,10,37,0.493,5;9,6.4,0.544,5;9,9.9,0.468,5;9,16.5,138.96 ,27.67,8,8,37.09 ,27.67,9,9,26.49 ,35.92,7,11,151.52 ,26.70,7,9,206,23.6,10.07
P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2 - [SRP09_HUMAN],62.79,1,6,6,20,0.492,3;8,19.9,0.673,3;8,10.4,0.639,3;8,25.0,83.95 ,36.05,5,5,13.88 ,23.26,4,4,10.11 ,41.86,4,5,63.57 ,43.02,4,6,86,10.1,7.97
Q8N357,Solute carrier family 35 member F6 OS=Homo sapiens GN=SLC35F6 PE=1 SV=1 - [S35F6_HUMAN],3.77,1,1,1,6,0.492,1;2,25.2,0.431,1;2,12.6,0.417,1;2,2.9,52.80 ,3.77,1,1,8.24 ,3.77,2,2,3.18 ,3.77,1,1,42.24 ,3.77,1,2,371,40.2,6.93
Q9NYK5,"39S ribosomal protein L39, mitochondrial OS=Homo sapiens GN=MRPL39 PE=1 SV=3 - [RM39_HUMAN]",32.25,1,12,12,49,0.489,6;14,3.8,0.524,6;14,21.2,0.483,6;14,12.6,165.12 ,23.96,11,11,39.18 ,23.96,11,11,36.85 ,27.81,10,14,246.62 ,25.44,9,13,338,38.7,7.65
P10176,"Cytochrome c oxidase subunit 8A, mitochondrial OS=Homo sapiens GN=COX8A PE=1 SV=2 - [COX8A_HUMAN]",13.04,1,1,1,12,0.489,1;5,34.8,0.573,1;5,24.6,0.503,1;5,8.5,,,,,4.82 ,13.04,2,2,13.74 ,13.04,2,5,26.67 ,13.04,2,5,69,7.6,10.24
P07093,Glia-derived nexin OS=Homo sapiens GN=SERPINE2 PE=1 SV=1 - [GDN_HUMAN],51.01,1,21,21,114,0.488,11;38,18.2,0.473,10;38,21.6,0.471,9;38,28.2,265.05 ,22.36,15,19,69.74 ,22.36,16,19,100.69 ,42.71,21,39,681.17 ,42.46,19,37,398,44.0,9.29
O15121,Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens GN=DEGS1 PE=1 SV=1 - [DEGS1_HUMAN],15.17,1,4,4,14,0.488,1;4,9.0,0.545,2;4,17.2,0.694,2;4,23.3,63.46 ,5.26,2,2,13.98 ,10.22,3,3,18.72 ,15.17,4,5,137.44 ,14.86,3,4,323,37.8,7.46
Q8IVW8,Protein spinster homolog 2 OS=Homo sapiens GN=SPNS2 PE=1 SV=2 - [SPNS2_HUMAN],3.64,1,1,1,2,0.488,-;1,,0.643,-;1,,0.618,-;1,,,,,,,,,,2.64 ,3.64,1,1,31.80 ,3.64,1,1,549,58.0,9.25
P12074,"Cytochrome c oxidase subunit 6A1, mitochondrial OS=Homo sapiens GN=COX6A1 PE=1 SV=4 - [CX6A1_HUMAN]",26.61,1,1,1,16,0.488,1;5,25.1,0.580,1;5,23.2,0.453,1;5,46.1,,,,,16.87 ,26.61,2,4,38.42 ,26.61,2,12,,,,,109,12.1,9.32
Q4U2R6,"39S ribosomal protein L51, mitochondrial OS=Homo sapiens GN=MRPL51 PE=1 SV=1 - [RM51_HUMAN]",22.66,1,3,3,16,0.485,-;8,,0.519,-;8,,0.516,-;8,,,,,,,,,,27.33 ,22.66,5,8,110.41 ,22.66,4,8,128,15.1,11.27
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3 - [NDUS1_HUMAN]",60.25,1,30,30,150,0.484,10;47,28.4,0.484,11;48,16.7,0.480,11;48,20.9,531.06 ,24.48,16,18,76.11 ,24.48,19,21,133.25 ,51.72,33,51,968.08 ,53.51,31,60,727,79.4,6.23
Q9NS25,Sperm protein associated with the nucleus on the X chromosome B/F OS=Homo sapiens GN=SPANXB1 PE=2 SV=1 - [SPNXB_HUMAN],75.73,5,6,6,16,0.483,1;6,11.2,0.444,1;6,0.5,0.448,1;6,6.0,65.35 ,10.68,2,2,8.07 ,10.68,2,2,16.63 ,59.22,5,6,114.92 ,74.76,5,6,103,11.8,6.15
O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Homo sapiens GN=NDUFB8 PE=1 SV=1 - [NDUB8_HUMAN]",36.02,1,5,5,20,0.481,3;6,44.4,0.385,3;6,70.0,0.337,3;6,78.3,80.35 ,17.20,3,3,15.17 ,17.20,5,5,18.79 ,31.18,4,6,37.89 ,31.18,4,6,186,21.8,6.80
Q02153,Guanylate cyclase soluble subunit beta-1 OS=Homo sapiens GN=GUCY1B3 PE=1 SV=1 - [GCYB1_HUMAN],10.66,1,5,5,10,0.481,-;5,,0.460,-;5,,0.527,-;5,,,,,,,,,,14.96 ,10.66,5,5,93.29 ,10.66,5,5,619,70.5,5.35
Q96H78,Solute carrier family 25 member 44 OS=Homo sapiens GN=SLC25A44 PE=2 SV=1 - [S2544_HUMAN],8.28,1,2,2,3,0.481,-;1,,0.563,-;1,,0.519,-;1,,,,,,,,,,5.59 ,8.28,2,2,67.80 ,4.78,1,1,314,35.4,9.63
Q01973,Tyrosine-protein kinase transmembrane receptor ROR1 OS=Homo sapiens GN=ROR1 PE=1 SV=2 - [ROR1_HUMAN],27.53,1,18,18,40,0.481,3;18,6.5,0.472,3;18,11.8,0.486,3;17,0.9,110.82 ,4.48,4,4,15.97 ,4.48,4,4,51.46 ,23.91,15,17,321.66 ,23.69,14,15,937,104.2,7.17
Q3KP66,Uncharacterized protein C1orf106 OS=Homo sapiens GN=C1orf106 PE=2 SV=2 - [CA106_HUMAN],4.07,2,2,3,5,0.480,-;1,,0.332,-;1,,0.603,-;1,,47.87 ,0.90,1,2,,,,,4.67 ,3.17,2,2,39.29 ,1.36,1,1,663,72.9,9.31
Q03169,Tumor necrosis factor alpha-induced protein 2 OS=Homo sapiens GN=TNFAIP2 PE=1 SV=2 - [TNAP2_HUMAN],40.83,1,18,18,40,0.478,-;19,,0.516,-;19,,0.470,-;19,,51.41 ,2.75,1,1,4.02 ,2.75,1,1,51.19 ,40.83,18,20,224.62 ,37.16,16,18,654,72.6,6.46
Q9BRJ2,"39S ribosomal protein L45, mitochondrial OS=Homo sapiens GN=MRPL45 PE=1 SV=2 - [RM45_HUMAN]",51.96,2,14,14,50,0.478,6;18,10.6,0.530,6;18,3.5,0.472,6;18,6.0,96.83 ,19.61,6,7,31.58 ,19.61,9,10,45.24 ,45.42,11,17,192.69 ,49.02,12,16,306,35.3,9.03
O15347,High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4 - [HMGB3_HUMAN],48.00,1,11,13,55,0.478,8;12,7.8,0.556,8;12,14.2,0.524,8;12,19.6,291.89 ,31.00,12,14,61.50 ,28.00,13,15,41.42 ,41.00,11,15,190.74 ,26.50,6,11,200,23.0,8.37
Q96KA5,Cleft lip and palate transmembrane protein 1-like protein OS=Homo sapiens GN=CLPTM1L PE=1 SV=1 - [CLP1L_HUMAN],37.36,1,14,14,193,0.478,9;66,57.7,0.383,9;66,36.9,0.330,9;64,56.1,750.37 ,15.99,8,30,135.11 ,15.99,10,35,186.55 ,37.36,15,66,989.20 ,36.06,14,62,538,62.2,8.56
Q6NT32,Carboxylesterase 5A OS=Homo sapiens GN=CES5A PE=2 SV=1 - [EST5A_HUMAN],12.70,1,4,4,8,0.478,-;4,,0.509,-;4,,0.423,-;4,,,,,,,,,,12.47 ,12.70,4,4,119.54 ,12.70,4,4,575,63.9,6.44
Q9UI09,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens GN=NDUFA12 PE=1 SV=1 - [NDUAC_HUMAN],50.34,1,6,6,26,0.476,2;10,30.1,0.453,2;10,20.5,0.524,2;10,52.6,58.42 ,22.07,4,4,11.96 ,17.93,3,3,35.68 ,40.00,4,9,211.54 ,40.00,4,10,145,17.1,9.63
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2 - [NDUA9_HUMAN]",46.15,1,14,14,53,0.476,3;22,6.0,0.515,3;22,7.8,0.477,3;22,33.7,72.78 ,9.81,5,5,19.53 ,9.81,5,5,66.71 ,41.64,12,22,171.83 ,43.50,13,21,377,42.5,9.80
Q9UNX3,60S ribosomal protein L26-like 1 OS=Homo sapiens GN=RPL26L1 PE=1 SV=1 - [RL26L_HUMAN],45.52,1,1,10,113,0.476,-;1,,0.874,-;1,,0.721,-;1,,82.32 ,20.69,6,10,30.00 ,20.69,5,8,148.68 ,44.83,13,49,571.46 ,33.10,9,46,145,17.2,10.55
Q9Y6Q1,Calpain-6 OS=Homo sapiens GN=CAPN6 PE=1 SV=2 - [CAN6_HUMAN],8.42,1,4,4,9,0.476,-;5,,0.447,-;5,,0.457,-;5,,,,,,,,,,9.84 ,8.42,4,5,44.90 ,5.62,3,4,641,74.5,7.05
Q86SR1,Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2 - [GLT10_HUMAN],44.94,2,22,22,72,0.475,1;32,55.6,0.418,2;32,43.5,0.479,1;33,12.7,155.50 ,11.11,5,5,20.69 ,11.11,5,5,91.95 ,43.62,22,32,321.17 ,39.97,19,30,603,68.9,8.59
Q5VT25,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1 - [MRCKA_HUMAN],30.60,1,35,42,110,0.474,3;40,1.1,0.489,3;40,7.8,0.431,3;40,7.9,143.17 ,4.04,5,6,28.45 ,4.45,7,8,141.62 ,27.83,41,51,728.41 ,26.96,39,45,1732,197.2,6.58
P50150,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4 OS=Homo sapiens GN=GNG4 PE=1 SV=1 - [GBG4_HUMAN],53.33,1,3,3,10,0.473,1;3,53.2,0.500,1;3,49.6,0.585,1;3,92.8,49.73 ,30.67,2,2,7.40 ,30.67,2,2,12.95 ,44.00,2,3,90.62 ,44.00,2,3,75,8.4,7.08
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=NDUFA5 PE=1 SV=3 - [NDUA5_HUMAN],66.38,1,7,7,62,0.472,5;21,17.4,0.533,5;20,2.6,0.517,5;21,6.5,212.54 ,52.59,6,7,44.21 ,52.59,10,11,85.68 ,66.38,8,22,572.58 ,66.38,8,22,116,13.5,5.99
P03886,NADH-ubiquinone oxidoreductase chain 1 OS=Homo sapiens GN=MT-ND1 PE=1 SV=1 - [NU1M_HUMAN],5.97,1,1,1,2,0.472,-;1,,0.530,-;1,,0.460,-;1,,,,,,,,,,3.67 ,5.97,1,1,45.86 ,5.97,1,1,318,35.6,6.55
Q49AR2,UPF0489 protein C5orf22 OS=Homo sapiens GN=C5orf22 PE=1 SV=2 - [CE022_HUMAN],35.29,1,10,10,27,0.472,2;11,24.0,0.476,2;11,15.9,0.427,2;11,58.2,152.71 ,11.76,3,3,18.57 ,11.76,4,4,27.37 ,29.19,8,9,219.19 ,35.29,10,11,442,49.9,4.78
A6NIJ5,Putative protein FAM90A20P OS=Homo sapiens GN=FAM90A20P PE=5 SV=1 - [F90AK_HUMAN],8.84,1,1,1,1,0.471,1;-,,1.488,1;-,,1.278,1;-,,,,,,0.00 ,8.84,1,1,,,,,,,,,464,50.0,9.89
Q9H2E6,Semaphorin-6A OS=Homo sapiens GN=SEMA6A PE=1 SV=2 - [SEM6A_HUMAN],13.01,1,7,8,15,0.471,-;7,,0.392,-;7,,0.356,-;7,,,,,,,,,,22.06 ,13.01,8,9,115.99 ,7.09,5,6,1030,114.3,8.41
Q9HBJ8,Collectrin OS=Homo sapiens GN=TMEM27 PE=1 SV=1 - [TMM27_HUMAN],13.06,1,2,2,4,0.471,-;2,,0.554,-;2,,0.539,-;2,,,,,,,,,,8.26 ,13.06,2,2,110.59 ,13.06,2,2,222,25.2,5.63
P78410,Butyrophilin subfamily 3 member A2 OS=Homo sapiens GN=BTN3A2 PE=1 SV=2 - [BT3A2_HUMAN],30.24,1,3,8,17,0.471,-;4,,0.530,-;4,,0.470,-;4,,,,,,,,,,27.31 ,27.54,8,8,142.85 ,30.24,9,9,334,36.4,5.33
P00374,Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2 - [DYR_HUMAN],67.91,2,13,13,60,0.471,6;21,6.1,0.573,6;21,21.4,0.514,6;21,14.1,185.84 ,32.62,8,9,37.20 ,32.62,9,10,58.20 ,67.91,16,22,249.61 ,58.29,12,19,187,21.4,7.42
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Homo sapiens GN=NDUFB10 PE=1 SV=3 - [NDUBA_HUMAN],48.84,1,8,8,36,0.470,4;12,9.9,0.539,4;12,25.5,0.538,4;12,24.5,146.79 ,20.93,7,7,28.90 ,20.93,7,7,32.14 ,40.70,7,11,135.05 ,43.60,7,11,172,20.8,8.48
Q6P4H8,Protein FAM173B OS=Homo sapiens GN=FAM173B PE=1 SV=2 - [F173B_HUMAN],22.75,1,3,3,9,0.470,-;2,,0.542,-;2,,0.460,-;2,,28.13 ,5.15,1,1,3.21 ,5.15,1,1,5.33 ,22.75,3,5,61.82 ,9.87,2,2,233,26.1,8.87
Q96CE8,Transmembrane 4 L6 family member 18 OS=Homo sapiens GN=TM4SF18 PE=2 SV=1 - [T4S18_HUMAN],11.94,1,2,2,5,0.470,1;2,7.6,0.351,1;2,28.4,0.397,1;2,23.5,33.17 ,7.46,1,1,5.05 ,7.46,1,1,4.52 ,11.94,2,2,30.22 ,4.48,1,1,201,22.3,7.40
O95167,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Homo sapiens GN=NDUFA3 PE=1 SV=1 - [NDUA3_HUMAN],50.00,1,4,4,28,0.467,3;8,34.9,0.473,3;8,29.1,0.487,3;8,36.6,106.32 ,41.67,2,3,24.85 ,41.67,4,6,30.33 ,50.00,5,13,58.26 ,50.00,3,6,84,9.3,8.46
Q92613,Protein Jade-3 OS=Homo sapiens GN=JADE3 PE=1 SV=1 - [JADE3_HUMAN],3.40,1,2,2,4,0.465,-;2,,0.450,-;2,,0.555,-;2,,,,,,,,,,2.86 ,3.40,2,2,50.76 ,3.40,2,2,823,93.7,7.18
Q9Y243,RAC-gamma serine/threonine-protein kinase OS=Homo sapiens GN=AKT3 PE=1 SV=1 - [AKT3_HUMAN],17.75,1,3,9,17,0.464,-;3,,0.729,-;3,,0.590,-;3,,60.78 ,4.38,1,1,7.49 ,5.64,2,2,18.77 ,15.24,7,7,117.75 ,15.45,7,7,479,55.7,6.02
O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens GN=NDUFB5 PE=1 SV=1 - [NDUB5_HUMAN]",16.93,1,4,4,25,0.463,1;10,23.3,0.524,1;10,28.8,0.469,1;10,54.2,69.28 ,10.05,2,2,13.24 ,10.05,4,4,27.50 ,16.93,4,9,140.40 ,16.93,4,10,189,21.7,9.63
P30520,Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3 - [PURA2_HUMAN],48.68,1,17,18,169,0.461,15;50,25.2,0.531,15;52,19.4,0.419,14;50,33.1,577.49 ,36.40,20,26,110.63 ,36.40,23,30,143.75 ,46.93,23,58,1076.59 ,46.93,21,55,456,50.1,6.55
P51793,H(+)/Cl(-) exchange transporter 4 OS=Homo sapiens GN=CLCN4 PE=1 SV=2 - [CLCN4_HUMAN],3.95,1,1,1,1,0.461,-;1,,0.644,-;1,,0.912,-;1,,,,,,,,,,0.00 ,3.95,1,1,,,,,760,84.9,6.86
P07996,Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2 - [TSP1_HUMAN],46.07,2,45,45,227,0.461,21;75,18.2,0.565,21;75,9.9,0.459,21;75,15.6,635.22 ,23.42,35,36,165.85 ,23.42,43,45,211.04 ,43.16,44,77,935.90 ,41.37,39,69,1170,129.3,4.94
P14927,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens GN=UQCRB PE=1 SV=2 - [QCR7_HUMAN],72.97,1,10,10,45,0.460,8;13,4.9,0.445,8;13,5.7,0.408,8;13,15.9,193.97 ,40.54,8,10,39.01 ,39.64,8,10,41.10 ,54.05,7,12,170.65 ,54.05,7,13,111,13.5,8.78
Q9P0M6,Core histone macro-H2A.2 OS=Homo sapiens GN=H2AFY2 PE=1 SV=3 - [H2AW_HUMAN],29.57,1,7,8,46,0.458,-;9,,0.468,-;9,,0.461,-;9,,100.83 ,4.57,2,4,19.04 ,4.57,2,4,62.11 ,29.57,9,20,397.23 ,26.61,8,18,372,40.0,9.69
Q9NWU5,"39S ribosomal protein L22, mitochondrial OS=Homo sapiens GN=MRPL22 PE=1 SV=1 - [RM22_HUMAN]",35.44,1,7,7,29,0.457,4;9,6.9,0.447,4;9,13.4,0.462,4;9,13.5,108.72 ,16.99,3,4,22.24 ,16.99,5,6,33.45 ,35.44,9,10,210.87 ,35.44,8,9,206,23.6,9.94
Q9H0U6,"39S ribosomal protein L18, mitochondrial OS=Homo sapiens GN=MRPL18 PE=1 SV=1 - [RM18_HUMAN]",21.11,1,3,3,19,0.455,1;5,26.9,0.458,1;5,48.3,0.440,1;5,21.8,47.00 ,5.56,2,2,6.21 ,5.56,2,2,22.52 ,21.11,4,11,101.01 ,12.78,2,4,180,20.6,9.54
Q9NRM6,Interleukin-17 receptor B OS=Homo sapiens GN=IL17RB PE=1 SV=2 - [I17RB_HUMAN],2.59,1,1,1,2,0.454,-;1,,0.636,-;1,,0.559,-;1,,,,,,,,,,3.22 ,2.59,1,1,46.50 ,2.59,1,1,502,55.8,8.09
P54762,Ephrin type-B receptor 1 OS=Homo sapiens GN=EPHB1 PE=1 SV=1 - [EPHB1_HUMAN],7.72,6,2,5,21,0.454,-;2,,0.516,-;2,,0.434,-;2,,88.88 ,2.44,3,5,16.64 ,2.44,3,5,11.64 ,6.91,5,6,78.09 ,5.08,3,5,984,109.8,6.40
P35219,Carbonic anhydrase-related protein OS=Homo sapiens GN=CA8 PE=1 SV=3 - [CAH8_HUMAN],34.48,1,7,7,31,0.453,6;7,17.4,0.511,6;7,13.5,0.462,6;7,6.4,226.57 ,27.59,6,7,37.78 ,27.59,9,11,14.78 ,26.21,5,6,125.45 ,27.59,6,7,290,33.0,4.86
Q8IZ69,tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens GN=TRMT2A PE=1 SV=2 - [TRM2A_HUMAN],32.00,1,15,15,50,0.452,2;19,35.3,0.572,3;19,19.9,0.529,2;19,22.4,118.38 ,7.20,3,3,12.64 ,7.20,4,4,69.98 ,29.60,14,21,287.69 ,29.60,14,22,625,68.7,7.94
Q6P1L8,"39S ribosomal protein L14, mitochondrial OS=Homo sapiens GN=MRPL14 PE=1 SV=1 - [RM14_HUMAN]",29.66,1,3,3,18,0.451,1;5,44.0,0.454,1;5,2.6,0.347,1;5,35.9,79.13 ,13.10,2,2,10.70 ,13.10,2,2,19.22 ,29.66,4,6,162.29 ,29.66,3,8,145,15.9,10.24
Q12864,Cadherin-17 OS=Homo sapiens GN=CDH17 PE=1 SV=3 - [CAD17_HUMAN],49.88,1,30,30,135,0.451,14;38,16.8,0.426,14;39,20.7,0.407,14;39,26.6,389.97 ,24.76,25,26,105.59 ,24.76,29,30,126.79 ,47.72,29,39,414.17 ,44.59,28,40,832,92.2,5.14
Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens GN=MARC2 PE=1 SV=1 - [MARC2_HUMAN],25.37,1,7,8,16,0.450,-;7,,0.507,-;7,,0.540,-;7,,,,,,,,,,20.36 ,23.28,7,8,112.88 ,23.28,7,8,335,38.0,9.16
Q8WVX3,Uncharacterized protein C4orf3 OS=Homo sapiens GN=C4orf3 PE=1 SV=2 - [CD003_HUMAN],34.85,1,2,2,9,0.450,3;-,,0.460,3;-,,0.411,3;-,,29.74 ,34.85,2,2,12.46 ,34.85,3,6,2.76 ,24.24,1,1,,,,,66,7.6,5.29
Q15388,Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens GN=TOMM20 PE=1 SV=1 - [TOM20_HUMAN],22.76,1,2,2,55,0.449,1;17,28.0,0.534,1;17,44.1,0.599,-;18,,341.28 ,13.79,1,11,36.09 ,13.79,1,11,40.50 ,22.76,4,15,439.64 ,22.76,3,18,145,16.3,8.60
Q96GC5,"39S ribosomal protein L48, mitochondrial OS=Homo sapiens GN=MRPL48 PE=1 SV=2 - [RM48_HUMAN]",21.70,1,4,4,16,0.449,-;8,,0.467,-;8,,0.424,-;8,,,,,,,,,,26.31 ,21.70,5,8,223.55 ,21.70,4,8,212,23.9,8.98
Q96BJ3,"Axin interactor, dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=1 SV=1 - [AIDA_HUMAN]",50.33,1,14,14,41,0.449,3;17,35.4,0.588,4;17,17.6,0.560,3;17,19.7,216.24 ,21.90,4,5,28.33 ,21.90,5,6,49.03 ,38.24,11,14,240.39 ,42.16,12,16,306,35.0,6.55
P25774,Cathepsin S OS=Homo sapiens GN=CTSS PE=1 SV=3 - [CATS_HUMAN],44.71,1,11,11,70,0.448,9;18,34.2,0.463,9;18,24.9,0.404,9;18,23.4,240.12 ,28.10,12,15,61.26 ,28.10,14,18,40.86 ,42.30,10,19,270.99 ,38.67,9,18,331,37.5,8.34
Q8IX03,Protein KIBRA OS=Homo sapiens GN=WWC1 PE=1 SV=1 - [KIBRA_HUMAN],5.21,1,4,5,15,0.448,-;4,,0.472,-;4,,0.421,-;3,,,,,,,,,,14.05 ,5.21,5,8,71.49 ,5.21,5,7,1113,125.2,5.85
Q8TAE8,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1 - [G45IP_HUMAN],37.84,1,8,8,47,0.448,4;18,31.2,0.471,4;18,16.4,0.454,4;18,19.2,153.56 ,22.97,5,5,21.70 ,22.97,7,7,35.59 ,37.84,12,18,239.44 ,37.84,10,17,222,25.4,10.02
